sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Female,93554,2020-06-23,49.2,2397.0,43.6,50.3
Male,95884,2020-06-23,50.4,3095.0,56.3,49.7
Unknown,784,2020-06-23,0.4,7.0,0.1,0.0
Female,96068,2020-06-24,49.1,2445.0,43.6,50.3
Male,98718,2020-06-24,50.5,3151.0,56.2,49.7
Unknown,785,2020-06-24,0.4,7.0,0.1,0.0
Female,98564,2020-06-25,49.2,2500.0,43.7,50.3
Male,101070,2020-06-25,50.4,3210.0,56.1,49.7
Unknown,827,2020-06-25,0.4,7.0,0.1,0.0
Female,101509,2020-06-26,49.2,2524.0,43.6,50.3
Male,104025,2020-06-26,50.4,3255.0,56.3,49.7
Unknown,899,2020-06-26,0.4,7.0,0.1,0.0
Female,103517,2020-06-27,49.2,2531.0,43.6,50.3
Male,105949,2020-06-27,50.4,3272.0,56.3,49.7
Unknown,1777,2020-06-27,0.4,7.0,0.1,0.0
Female,106610,2020-06-28,49.2,2554.0,43.7,50.3
Male,108973,2020-06-28,50.3,3289.0,56.2,49.7
Unknown,967,2020-06-28,0.4,7.0,0.1,0.0
Female,109850,2020-06-29,49.3,2566.0,43.7,50.3
Male,112043,2020-06-29,50.3,3304.0,56.2,49.7
Unknown,1024,2020-06-29,0.5,7.0,0.1,0.0
Female,114626,2020-06-30,49.3,2607.0,43.6,50.3
Male,116952,2020-06-30,50.3,3363.0,56.3,49.7
Unknown,1079,2020-06-30,0.5,8.0,0.1,0.0
Female,118389,2020-07-01,49.3,2644.0,43.6,50.3
Male,120678,2020-07-01,50.2,3407.0,56.2,49.7
Unknown,1128,2020-07-01,0.5,8.0,0.1,0.0
Female,122484,2020-07-02,49.3,2701.0,43.7,50.3
Male,124555,2020-07-02,50.2,3475.0,56.2,49.7
Unknown,1196,2020-07-02,0.5,8.0,0.1,0.0
Female,125717,2020-07-03,49.4,2731.0,43.7,50.3
Male,127760,2020-07-03,50.2,3508.0,56.2,49.7
Unknown,1268,2020-07-03,0.5,8.0,0.1,0.0
Female,128461,2020-07-04,49.4,2740.0,43.7,50.3
Male,130351,2020-07-04,50.1,3517.0,56.1,49.7
Unknown,1343,2020-07-04,0.5,8.0,0.1,0.0
Female,134224,2020-07-05,49.4,2759.0,43.8,50.3
Male,136050,2020-07-05,50.1,3534.0,56.1,49.7
Unknown,1410,2020-07-05,0.5,8.0,0.1,0.0
Female,137284,2020-07-06,49.4,2785.0,43.8,50.3
Male,139077,2020-07-06,50.1,3569.0,56.1,49.7
Unknown,1413,2020-07-06,0.5,8.0,0.1,0.0
Female,142868,2020-07-07,49.4,2831.0,43.7,50.3
Male,145044,2020-07-07,50.1,3636.0,56.2,49.7
Unknown,1556,2020-07-07,0.5,8.0,0.1,0.0
Female,146384,2020-07-08,49.4,2888.0,43.6,50.3
Male,148498,2020-07-08,50.1,3725.0,56.3,49.7
Unknown,1617,2020-07-08,0.5,8.0,0.1,0.0
Female,150192,2020-07-09,49.4,2951.0,43.5,50.3
Male,152444,2020-07-09,50.1,3828.0,56.4,49.7
Unknown,1661,2020-07-09,0.5,8.0,0.1,0.0
Female,154241,2020-07-10,49.4,2989.0,43.4,50.3
Male,156397,2020-07-10,50.1,3895.0,56.5,49.7
Unknown,1706,2020-07-10,0.5,8.0,0.1,0.0
Female,158488,2020-07-11,49.4,3026.0,43.3,50.3
Male,160558,2020-07-11,50.0,3954.0,56.6,49.7
Unknown,1758,2020-07-11,0.5,9.0,0.1,0.0
Female,162718,2020-07-12,49.4,3040.0,43.3,50.3
Male,164635,2020-07-12,50.0,3965.0,56.5,49.7
Unknown,1809,2020-07-12,0.5,9.0,0.1,0.0
Female,166525,2020-07-13,49.5,3046.0,43.3,50.3
Male,168074,2020-07-13,50.0,3983.0,56.6,49.7
Unknown,1909,2020-07-13,0.5,10.0,0.1,0.0
Female,172288,2020-07-14,49.6,3107.0,43.4,50.3
Male,173454,2020-07-14,49.9,4048.0,56.5,49.7
Unknown,1892,2020-07-14,0.5,9.0,0.1,0.0
Female,176728,2020-07-15,49.6,3151.0,43.3,50.3
Male,177540,2020-07-15,49.8,4122.0,56.6,49.7
Unknown,1910,2020-07-15,0.5,10.0,0.1,0.0
Female,181894,2020-07-16,49.7,3194.0,43.1,50.3
Male,182303,2020-07-16,49.8,4205.0,56.8,49.7
Unknown,1967,2020-07-16,0.5,10.0,0.1,0.0
Female,186551,2020-07-17,49.7,3242.0,43.1,50.3
Male,186838,2020-07-17,49.8,4279.0,56.8,49.7
Unknown,1974,2020-07-17,0.5,9.0,0.1,0.0
Female,191173,2020-07-18,49.7,3279.0,43.0,50.3
Male,191472,2020-07-18,49.8,4331.0,56.8,49.7
Unknown,2047,2020-07-18,0.5,10.0,0.1,0.0
Female,194690,2020-07-19,49.7,3290.0,43.0,50.3
Male,194780,2020-07-19,49.7,4351.0,56.9,49.7
