age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
Unknown,155,2020-05-27,0.2,0.0,0.0,0.0
0-17,5542,2020-05-28,5.3,0.0,0.0,22.5
18-49,53795,2020-05-28,51.8,222.0,5.7,43.5
50-64,24617,2020-05-28,23.7,599.0,15.3,18.4
65+,19773,2020-05-28,19.0,3083.0,79.0,15.6
Unknown,159,2020-05-28,0.2,0.0,0.0,0.0
0-17,5861,2020-05-29,5.5,0.0,0.0,22.5
18-49,55552,2020-05-29,52.0,228.0,5.7,43.5
50-64,25223,2020-05-29,23.6,618.0,15.5,18.4
65+,20073,2020-05-29,18.8,3139.0,78.8,15.6
Unknown,169,2020-05-29,0.2,0.0,0.0,0.0
0-17,6254,2020-05-30,5.7,0.0,0.0,22.5
18-49,57738,2020-05-30,52.2,230.0,5.7,43.5
50-64,25964,2020-05-30,23.5,627.0,15.5,18.4
65+,20455,2020-05-30,18.5,3186.0,78.8,15.6
Unknown,172,2020-05-30,0.2,0.0,0.0,0.0
0-17,6488,2020-05-31,5.7,0.0,0.0,22.5
18-49,59144,2020-05-31,52.3,231.0,5.7,43.5
50-64,26405,2020-05-31,23.4,636.0,15.6,18.4
65+,20792,2020-05-31,18.4,3213.0,78.8,15.6
Unknown,177,2020-05-31,0.2,0.0,0.0,0.0
0-17,6706,2020-06-01,5.8,0.0,0.0,22.5
18-49,60493,2020-06-01,52.5,235.0,5.7,43.5
50-64,26880,2020-06-01,23.3,642.0,15.6,18.4
65+,21054,2020-06-01,18.3,3250.0,78.7,15.6
Missing,177,2020-06-01,0.2,0.0,0.0,0.0
0-17,6925,2020-06-02,5.9,0.0,0.0,22.5
18-49,61896,2020-06-02,52.6,248.0,5.9,43.5
50-64,27334,2020-06-02,23.2,662.0,15.6,18.4
65+,21354,2020-06-02,18.1,3321.0,78.5,15.6
Missing,178,2020-06-02,0.2,0.0,0.0,0.0
0-17,7119,2020-06-03,5.9,0.0,0.0,22.5
18-49,63152,2020-06-03,52.7,250.0,5.8,43.5
50-64,27762,2020-06-03,23.2,671.0,15.6,18.4
65+,21595,2020-06-03,18.0,3377.0,78.6,15.6
Missing,179,2020-06-03,0.1,0.0,0.0,0.0
0-17,7408,2020-06-04,6.0,0.0,0.0,22.5
18-49,64914,2020-06-04,52.8,257.0,5.9,43.5
50-64,28396,2020-06-04,23.1,686.0,15.7,18.4
65+,22002,2020-06-04,17.9,3425.0,78.4,15.6
Missing,181,2020-06-04,0.1,0.0,0.0,0.0
0-17,8248,2020-06-07,6.3,0.0,0.0,22.5
18-49,69915,2020-06-07,53.2,271.0,6.0,43.5
50-64,30025,2020-06-07,22.9,715.0,15.8,18.4
65+,22939,2020-06-07,17.5,3542.0,78.2,15.6
Missing,192,2020-06-07,0.1,0.0,0.0,0.0
0-17,8509,2020-06-08,6.4,0.0,0.0,22.5
18-49,71233,2020-06-08,53.4,274.0,6.0,43.5
50-64,30400,2020-06-08,22.8,721.0,15.8,18.4
65+,23154,2020-06-08,17.3,3564.0,78.2,15.6
Missing,193,2020-06-08,0.1,0.0,0.0,0.0
0-17,8800,2020-06-09,6.5,0.0,0.0,22.5
18-49,72829,2020-06-09,53.5,280.0,6.0,43.5
50-64,30914,2020-06-09,22.7,741.0,15.9,18.4
65+,23469,2020-06-09,17.2,3642.0,78.1,15.6
Missing,179,2020-06-09,0.1,0.0,0.0,0.0
0-17,9136,2020-06-10,6.6,0.0,0.0,22.5
18-49,74622,2020-06-10,53.6,291.0,6.1,43.5
50-64,31530,2020-06-10,22.6,756.0,15.9,18.4
65+,23806,2020-06-10,17.1,3721.0,78.0,15.6
Missing,187,2020-06-10,0.1,1.0,0.0,0.0
0-17,9461,2020-06-11,6.7,0.0,0.0,22.5
18-49,76220,2020-06-11,53.7,295.0,6.1,43.5
50-64,32069,2020-06-11,22.6,771.0,16.0,18.4
65+,24043,2020-06-11,16.9,3765.0,77.9,15.6
Missing,190,2020-06-11,0.1,1.0,0.0,0.0
0-17,10184,2020-06-13,6.8,0.0,0.0,22.5
18-49,80348,2020-06-13,54.0,304.0,6.1,43.5
50-64,33357,2020-06-13,22.4,792.0,16.0,18.4
65+,24762,2020-06-13,16.6,3864.0,77.9,15.6
Missing,204,2020-06-13,0.1,1.0,0.0,0.0
0-17,10702,2020-06-15,7.0,0.0,0.0,22.5
18-49,83254,2020-06-15,54.2,308.0,6.2,43.5
50-64,34290,2020-06-15,22.3,801.0,16.0,18.4
65+,25109,2020-06-15,16.4,3892.0,77.8,15.6
Missing,205,2020-06-15,0.1,1.0,0.0,0.0
0-17,11582,2020-06-17,7.2,0.0,0.0,22.5
18-49,87796,2020-06-17,54.5,317.0,6.2,43.5
50-64,35609,2020-06-17,22.1,825.0,16.0,18.4
65+,25911,2020-06-17,16.1,3999.0,77.8,15.6
Missing,201,2020-06-17,0.1,1.0,0.0,0.0
0-17,12063,2020-06-18,7.3,0.0,0.0,22.5
18-49,90278,2020-06-18,54.6,320.0,6.1,43.5
50-64,36485,2020-06-18,22.1,841.0,16.0,18.4
65+,26385,2020-06-18,16.0,4088.0,77.9,15.6
Missing,205,2020-06-18,0.1,1.0,0.0,0.0
0-17,12441,2020-06-19,7.3,0.0,0.0,22.5
18-49,92703,2020-06-19,54.8,322.0,6.1,43.5
50-64,37213,2020-06-19,22.0,851.0,16.0,18.4
65+,26741,2020-06-19,15.8,4144.0,77.9,15.6
Missing,211,2020-06-19,0.1,1.0,0.0,0.0
0-17,12897,2020-06-20,7.4,0.0,0.0,22.5
18-49,95513,2020-06-20,54.9,326.0,6.0,43.5
